epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8881,1.96329,3.46432,1.96073,0.00339,0.425,0.17533,0.09207,1.96376,3.76595,1.96698,0.00010002,0.00010002,0.00010002
2,171.681,1.58705,3.06208,1.68187,0.00639,0.64375,0.11387,0.07759,1.74994,3.64268,1.86151,0.000214565,0.000214565,0.000214565
3,249.519,1.46625,2.53838,1.55301,0.00913,0.96875,0.20214,0.0806,1.47943,3.41436,1.53248,0.000326799,0.000326799,0.000326799
4,329.675,1.52537,2.30577,1.55456,0.00663,0.78125,0.36725,0.17257,1.51769,3.3106,1.6692,0.000436722,0.000436722,0.000436722
5,408.611,1.41694,2.12011,1.49717,0.50791,0.425,0.46671,0.19406,1.20679,2.87962,1.4012,0.000544336,0.000544336,0.000544336
6,487.796,1.33601,1.97314,1.41995,0.53493,0.35625,0.43666,0.21966,1.11239,2.68169,1.35585,0.000649638,0.000649638,0.000649638
7,567.177,1.36724,1.93519,1.43756,0.33559,0.325,0.3355,0.14787,1.58346,2.7769,1.64476,0.00075263,0.00075263,0.00075263
8,634.473,1.40362,1.97572,1.46432,0.87342,0.09257,0.11704,0.05948,1.64662,3.52853,1.8322,0.000853312,0.000853312,0.000853312
9,706.418,1.41045,1.97343,1.48134,0.34375,0.30552,0.20477,0.08129,1.77509,3.18871,1.74468,0.000951684,0.000951684,0.000951684
10,785.666,1.40948,1.93105,1.49228,0.32863,0.425,0.30845,0.13714,1.58761,3.07089,1.69286,0.00104774,0.00104774,0.00104774
11,864.255,1.38658,1.81499,1.43764,0.29335,0.325,0.27914,0.13474,1.86227,2.87552,1.80784,0.00114149,0.00114149,0.00114149
12,931.248,1.36596,1.77944,1.44494,0.42273,0.29375,0.33506,0.16051,1.80261,2.90494,1.72287,0.00123293,0.00123293,0.00123293
13,1000.92,1.36783,1.74533,1.42816,0.35205,0.31875,0.19729,0.07835,1.77633,2.74746,1.80745,0.00132206,0.00132206,0.00132206
14,1079.94,1.34805,1.67259,1.40035,0.17352,0.34375,0.18885,0.07667,1.83685,2.63679,1.83281,0.00140888,0.00140888,0.00140888
15,1146.63,1.36785,1.61156,1.3881,0.17175,0.35,0.2319,0.08962,1.88988,2.74619,1.94546,0.00143595,0.00143595,0.00143595
16,1226.38,1.36772,1.58308,1.4041,0.32883,0.51875,0.35888,0.14665,1.76939,2.7236,1.82933,0.00141945,0.00141945,0.00141945
17,1306.47,1.34617,1.60127,1.40301,0.39595,0.4412,0.32629,0.15126,1.70479,2.48692,1.73724,0.00140295,0.00140295,0.00140295
18,1387.01,1.36535,1.59376,1.39784,0.59266,0.09375,0.06861,0.02495,2.44444,3.44361,2.42872,0.00138644,0.00138644,0.00138644
19,1467.05,1.35604,1.57144,1.38708,0.80835,0.09375,0.12146,0.06151,2.05597,3.4152,2.01188,0.00136994,0.00136994,0.00136994
20,1548.86,1.33083,1.55163,1.3782,0.79832,0.0625,0.08501,0.03025,2.42176,3.38648,2.15502,0.00135344,0.00135344,0.00135344
21,1624.23,1.31772,1.48567,1.35882,0.24491,0.36698,0.2558,0.08975,1.90153,3.38916,1.8998,0.00133693,0.00133693,0.00133693
22,1698.46,1.38148,1.48678,1.39369,0.25171,0.3875,0.26796,0.13584,1.83772,3.30265,1.89717,0.00132043,0.00132043,0.00132043
23,1777.15,1.31993,1.43924,1.35221,0.78548,0.19375,0.30341,0.18803,1.77935,2.72469,1.81673,0.00130393,0.00130393,0.00130393
24,1865.67,1.27631,1.41011,1.32699,0.16444,0.45,0.18816,0.08839,1.72818,2.98315,1.69614,0.00128742,0.00128742,0.00128742
25,1943.33,1.2828,1.36601,1.32033,0.16149,0.5125,0.2054,0.1198,1.68684,2.99848,1.71235,0.00127092,0.00127092,0.00127092
26,2024.32,1.24047,1.25477,1.30868,0.45102,0.24939,0.28168,0.17359,1.63029,2.4813,1.66405,0.00125442,0.00125442,0.00125442
27,2102.17,1.28051,1.38805,1.33593,0.63741,0.30348,0.36111,0.18738,1.77649,2.35389,1.79316,0.00123791,0.00123791,0.00123791
28,2181.61,1.25882,1.28371,1.30634,0.62812,0.2625,0.36273,0.20544,1.69531,2.43236,1.78199,0.00122141,0.00122141,0.00122141
29,2261.81,1.17802,1.20798,1.26271,0.62045,0.40862,0.43061,0.26139,1.62464,2.46973,1.65807,0.00120491,0.00120491,0.00120491
